#,receptor,ligand,centerx,centery,centerz,sizex,sizey,sizez
i,CXCR4_3ODU,ZINC00001592,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00001592,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00002171,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00002171,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00004579,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00004579,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00005256,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00005256,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00007580,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00007580,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000023,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000023,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000053,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000053,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000056,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000056,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000061,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000061,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000083,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000083,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000095,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000095,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000018,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000018,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000036,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000036,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000056,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000056,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000061,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000061,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000083,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000083,18,-8,65,18.409,18.441,18.476
i,CXCR4_3ODU,ZINC00000070,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00000070,18,-8,65,18.409,18.441,18.476  
i,D3R_3PBL,3D1,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,3D1,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,4DX,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,4DX,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,ACT,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,ACT,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,ANP,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,ANP,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,DAO,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,DAO,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,DIH,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,DIH,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,MGT,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,MGT,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,N8M,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,N8M,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,NAD,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,NAD,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,T27,2,-16,7,18.409,18.441,18.476           
i,D3R_3PBL_H,T27,2,-16,7,18.409,18.441,18.476         
i,D3R_3PBL,ZINC00001506,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00001506,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00001592,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00001592,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00002171,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00002171,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00004579,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00004579,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00005256,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00005256,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00007580,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00007580,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000023,2,-16,7,18.409,18.441,18.476  
